id,Year,Month number,Offence category,Offence type,Reporting region ,Statistical Area 2,Number of offences
766,2009,4,Acts intended to cause injury,Assault,Darwin,-,38
767,2009,4,Acts intended to cause injury,Assault,Palmerston,-,9
768,2009,4,Acts intended to cause injury,Assault,Darwin,-,8
769,2009,4,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
770,2009,4,Acts intended to cause injury,Assault,Palmerston,-,1
771,2009,4,Acts intended to cause injury,Assault,Darwin,-,41
772,2009,4,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
773,2009,4,Acts intended to cause injury,Assault,Palmerston,-,10
774,2009,4,Acts intended to cause injury,Assault,Darwin,-,4
775,2009,4,Acts intended to cause injury,Assault,Palmerston,-,2
776,2009,4,Acts intended to cause injury,Assault,Darwin,-,12
777,2009,4,Acts intended to cause injury,Assault,Palmerston,-,4
778,2009,4,Commercial break-ins,Commercial break-ins actual,Darwin,-,62
779,2009,4,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,2
780,2009,4,Commercial break-ins,Commercial break-ins actual,Palmerston,-,3
781,2009,4,Commercial break-ins,Commercial break-ins attempted,Darwin,-,18
782,2009,4,Commercial break-ins,Commercial break-ins attempted,NT Balance,Howard Springs,1
783,2009,4,Commercial break-ins,Commercial break-ins attempted,NT Balance,Humpty Doo,1
784,2009,4,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,2
785,2009,4,House break-ins,House break-ins actual,Darwin,-,54
786,2009,4,House break-ins,House break-ins actual,NT Balance,Humpty Doo,2
787,2009,4,House break-ins,House break-ins actual,Palmerston,-,8
788,2009,4,House break-ins,House break-ins attempted,Darwin,-,9
789,2009,4,House break-ins,House break-ins attempted,Palmerston,-,2
790,2009,4,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,49
791,2009,4,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Howard Springs,1
792,2009,4,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,2
793,2009,4,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,11
794,2009,4,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,70
795,2009,4,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,1
796,2009,4,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,16
797,2009,4,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,2
798,2009,4,Property Damage Offences,Property damage offences,Darwin,-,289
799,2009,4,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,5
800,2009,4,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,10
801,2009,4,Property Damage Offences,Property damage offences,Palmerston,-,82
802,2009,4,Robbery - extortion and related offences,Robbery,Darwin,-,6
803,2009,4,Robbery - extortion and related offences,Robbery,Palmerston,-,2
804,2009,4,Sexual Assault and related offences,Non-assaultive sexual offences,Darwin,-,2
805,2009,4,Sexual Assault and related offences,Sexual assault,Darwin,-,11
806,2009,4,Sexual Assault and related offences,Sexual assault,Palmerston,-,3
807,2009,4,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,284
808,2009,4,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,9
809,2009,4,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,10
810,2009,4,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,59
811,2009,5,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,-,2
812,2009,5,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,2
813,2009,5,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,4
814,2009,5,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Howard Springs,1
815,2009,5,Acts intended to cause injury,Assault,Darwin,-,14
816,2009,5,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
817,2009,5,Acts intended to cause injury,Assault,Palmerston,-,11
818,2009,5,Acts intended to cause injury,Assault,Darwin,-,53
819,2009,5,Acts intended to cause injury,Assault,Palmerston,-,8
820,2009,5,Acts intended to cause injury,Assault,Darwin,-,4
821,2009,5,Acts intended to cause injury,Assault,Palmerston,-,4
822,2009,5,Acts intended to cause injury,Assault,Darwin,-,26
823,2009,5,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
824,2009,5,Acts intended to cause injury,Assault,Palmerston,-,7
825,2009,5,Acts intended to cause injury,Assault,Darwin,-,1
826,2009,5,Acts intended to cause injury,Assault,Palmerston,-,1
827,2009,5,Acts intended to cause injury,Assault,Darwin,-,13
828,2009,5,Acts intended to cause injury,Assault,Palmerston,-,5
829,2009,5,Commercial break-ins,Commercial break-ins actual,Darwin,-,28
830,2009,5,Commercial break-ins,Commercial break-ins actual,Palmerston,-,7
831,2009,5,Commercial break-ins,Commercial break-ins attempted,Darwin,-,5
832,2009,5,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,3
833,2009,5,House break-ins,House break-ins actual,Darwin,-,49
834,2009,5,House break-ins,House break-ins actual,NT Balance,Humpty Doo,3
835,2009,5,House break-ins,House break-ins actual,Palmerston,-,20
836,2009,5,House break-ins,House break-ins attempted,Darwin,-,4
837,2009,5,House break-ins,House break-ins attempted,Palmerston,-,5
838,2009,5,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,31
839,2009,5,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,1
840,2009,5,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,8
841,2009,5,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,89
842,2009,5,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
843,2009,5,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,1
844,2009,5,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,19
845,2009,5,Property Damage Offences,Property damage offences,Darwin,-,276
846,2009,5,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,5
847,2009,5,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,2
848,2009,5,Property Damage Offences,Property damage offences,Palmerston,-,65
849,2009,5,Robbery - extortion and related offences,Robbery,Darwin,-,11
850,2009,5,Robbery - extortion and related offences,Robbery,Palmerston,-,3
851,2009,5,Sexual Assault and related offences,Sexual assault,Darwin,-,18
852,2009,5,Sexual Assault and related offences,Sexual assault,Palmerston,-,1
853,2009,5,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,272
854,2009,5,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,6
855,2009,5,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,9
856,2009,5,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,98
857,2009,6,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,-,1
858,2009,6,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,3
859,2009,6,Abduction - harassment and other offences against the person,Harassment and private nuisance,NT Balance,Humpty Doo,2
860,2009,6,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,4
861,2009,6,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Humpty Doo,1
862,2009,6,Acts intended to cause injury,Assault,Darwin,-,17
863,2009,6,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
864,2009,6,Acts intended to cause injury,Assault,Palmerston,-,11
865,2009,6,Acts intended to cause injury,Assault,Darwin,-,39
866,2009,6,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
867,2009,6,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
868,2009,6,Acts intended to cause injury,Assault,Palmerston,-,3
869,2009,6,Acts intended to cause injury,Assault,Darwin,-,3
870,2009,6,Acts intended to cause injury,Assault,Palmerston,-,2
871,2009,6,Acts intended to cause injury,Assault,Darwin,-,21
872,2009,6,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
873,2009,6,Acts intended to cause injury,Assault,Palmerston,-,6
874,2009,6,Acts intended to cause injury,Assault,Darwin,-,4
875,2009,6,Acts intended to cause injury,Assault,Palmerston,-,2
876,2009,6,Acts intended to cause injury,Assault,Darwin,-,10
877,2009,6,Acts intended to cause injury,Assault,Palmerston,-,4
878,2009,6,Acts intended to cause injury,Other acts intended to cause injury,Darwin,-,1
879,2009,6,Commercial break-ins,Commercial break-ins actual,Darwin,-,40
880,2009,6,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,2
881,2009,6,Commercial break-ins,Commercial break-ins actual,Palmerston,-,8
882,2009,6,Commercial break-ins,Commercial break-ins attempted,Darwin,-,8
883,2009,6,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,1
884,2009,6,House break-ins,House break-ins actual,Darwin,-,63
885,2009,6,House break-ins,House break-ins actual,NT Balance,Howard Springs,1
886,2009,6,House break-ins,House break-ins actual,NT Balance,Humpty Doo,1
887,2009,6,House break-ins,House break-ins actual,Palmerston,-,18
888,2009,6,House break-ins,House break-ins attempted,Darwin,-,14
889,2009,6,House break-ins,House break-ins attempted,Palmerston,-,5
890,2009,6,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,18
891,2009,6,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Howard Springs,1
892,2009,6,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,3
893,2009,6,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,4
894,2009,6,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,60
895,2009,6,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,1
896,2009,6,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,19
897,2009,6,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,2
898,2009,6,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Palmerston,-,3
899,2009,6,Property Damage Offences,Property damage offences,Darwin,-,285
900,2009,6,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,8
901,2009,6,Property Damage Offences,Property damage offences,Palmerston,-,62
902,2009,6,Robbery - extortion and related offences,Robbery,Darwin,-,2
903,2009,6,Sexual Assault and related offences,Non-assaultive sexual offences,Darwin,-,1
904,2009,6,Sexual Assault and related offences,Non-assaultive sexual offences,Palmerston,-,1
905,2009,6,Sexual Assault and related offences,Sexual assault,Darwin,-,7
906,2009,6,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,294
907,2009,6,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,6
908,2009,6,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,14
909,2009,6,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,67
910,2009,7,Abduction - harassment and other offences against the person,Abduction and kidnapping,Palmerston,-,1
911,2009,7,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,-,3
912,2009,7,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,3
913,2009,7,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Humpty Doo,1
914,2009,7,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,1
915,2009,7,Acts intended to cause injury,Assault,Darwin,-,22
916,2009,7,Acts intended to cause injury,Assault,Palmerston,-,18
917,2009,7,Acts intended to cause injury,Assault,Darwin,-,39
918,2009,7,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
919,2009,7,Acts intended to cause injury,Assault,Palmerston,-,5
920,2009,7,Acts intended to cause injury,Assault,Darwin,-,3
921,2009,7,Acts intended to cause injury,Assault,Darwin,-,27
922,2009,7,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
923,2009,7,Acts intended to cause injury,Assault,Palmerston,-,9
924,2009,7,Acts intended to cause injury,Assault,Darwin,-,4
925,2009,7,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
926,2009,7,Acts intended to cause injury,Assault,Palmerston,-,2
927,2009,7,Acts intended to cause injury,Assault,Darwin,-,9
928,2009,7,Acts intended to cause injury,Assault,Palmerston,-,3
929,2009,7,Acts intended to cause injury,Other acts intended to cause injury,Darwin,-,1
930,2009,7,Commercial break-ins,Commercial break-ins actual,Darwin,-,62
931,2009,7,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,2
932,2009,7,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,2
933,2009,7,Commercial break-ins,Commercial break-ins actual,Palmerston,-,10
934,2009,7,Commercial break-ins,Commercial break-ins attempted,Darwin,-,15
935,2009,7,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,1
936,2009,7,House break-ins,House break-ins actual,Darwin,-,19
937,2009,7,House break-ins,House break-ins actual,Palmerston,-,5
938,2009,7,House break-ins,House break-ins attempted,Darwin,-,11
939,2009,7,House break-ins,House break-ins attempted,Palmerston,-,2
940,2009,7,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,23
941,2009,7,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Howard Springs,1
942,2009,7,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,5
943,2009,7,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,51
944,2009,7,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
945,2009,7,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,1
946,2009,7,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,16
947,2009,7,Property Damage Offences,Property damage offences,Darwin,-,278
948,2009,7,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,3
949,2009,7,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,8
950,2009,7,Property Damage Offences,Property damage offences,Palmerston,-,72
951,2009,7,Robbery - extortion and related offences,Robbery,Darwin,-,10
952,2009,7,Robbery - extortion and related offences,Robbery,Palmerston,-,3
953,2009,7,Sexual Assault and related offences,Non-assaultive sexual offences,Darwin,-,1
954,2009,7,Sexual Assault and related offences,Sexual assault,Darwin,-,9
955,2009,7,Sexual Assault and related offences,Sexual assault,Palmerston,-,4
956,2009,7,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,260
957,2009,7,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,7
958,2009,7,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,6
959,2009,7,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,71
960,2009,8,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,-,2
961,2009,8,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,4
962,2009,8,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,3
963,2009,8,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,2
964,2009,8,Acts intended to cause injury,Assault,Darwin,-,16
965,2009,8,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,2
966,2009,8,Acts intended to cause injury,Assault,Palmerston,-,12
967,2009,8,Acts intended to cause injury,Assault,Darwin,-,30
968,2009,8,Acts intended to cause injury,Assault,Palmerston,-,4
969,2009,8,Acts intended to cause injury,Assault,Darwin,-,12
970,2009,8,Acts intended to cause injury,Assault,Palmerston,-,4
971,2009,8,Acts intended to cause injury,Assault,Darwin,-,22
972,2009,8,Acts intended to cause injury,Assault,Palmerston,-,4
973,2009,8,Acts intended to cause injury,Assault,Darwin,-,6
974,2009,8,Acts intended to cause injury,Assault,Palmerston,-,3
975,2009,8,Acts intended to cause injury,Assault,Darwin,-,7
976,2009,8,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
977,2009,8,Acts intended to cause injury,Assault,Palmerston,-,3
978,2009,8,Commercial break-ins,Commercial break-ins actual,Darwin,-,81
979,2009,8,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,5
980,2009,8,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,3
981,2009,8,Commercial break-ins,Commercial break-ins actual,Palmerston,-,22
982,2009,8,Commercial break-ins,Commercial break-ins attempted,Darwin,-,4
983,2009,8,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,1
984,2009,8,Homicide and related Offences,Manslaughter,Darwin,-,1
985,2009,8,House break-ins,House break-ins actual,Darwin,-,12
986,2009,8,House break-ins,House break-ins actual,NT Balance,Humpty Doo,2
987,2009,8,House break-ins,House break-ins actual,Palmerston,-,4
988,2009,8,House break-ins,House break-ins attempted,Darwin,-,14
989,2009,8,House break-ins,House break-ins attempted,NT Balance,Howard Springs,1
990,2009,8,House break-ins,House break-ins attempted,Palmerston,-,1
991,2009,8,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,29
992,2009,8,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,2
993,2009,8,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,8
994,2009,8,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,79
995,2009,8,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,2
996,2009,8,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,3
997,2009,8,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,17
998,2009,8,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,4
999,2009,8,Property Damage Offences,Property damage offences,Darwin,-,251
1000,2009,8,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,5
1001,2009,8,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,7
1002,2009,8,Property Damage Offences,Property damage offences,Palmerston,-,79
1003,2009,8,Robbery - extortion and related offences,Robbery,Darwin,-,12
1004,2009,8,Robbery - extortion and related offences,Robbery,Palmerston,-,1
1005,2009,8,Sexual Assault and related offences,Non-assaultive sexual offences,NT Balance,Howard Springs,1
1006,2009,8,Sexual Assault and related offences,Sexual assault,Darwin,-,10
1007,2009,8,Sexual Assault and related offences,Sexual assault,Palmerston,-,2
1008,2009,8,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,253
1009,2009,8,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,5
1010,2009,8,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,9
1011,2009,8,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,76
1012,2009,9,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,1
1013,2009,9,Abduction - harassment and other offences against the person,Harassment and private nuisance,Palmerston,-,1
1014,2009,9,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,9
1015,2009,9,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,1
1016,2009,9,Acts intended to cause injury,Assault,Darwin,-,26
1017,2009,9,Acts intended to cause injury,Assault,Palmerston,-,9
1018,2009,9,Acts intended to cause injury,Assault,Darwin,-,36
1019,2009,9,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
1020,2009,9,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
1021,2009,9,Acts intended to cause injury,Assault,Palmerston,-,5
1022,2009,9,Acts intended to cause injury,Assault,Darwin,-,5
1023,2009,9,Acts intended to cause injury,Assault,Palmerston,-,3
1024,2009,9,Acts intended to cause injury,Assault,Darwin,-,23
1025,2009,9,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,3
1026,2009,9,Acts intended to cause injury,Assault,Palmerston,-,5
1027,2009,9,Acts intended to cause injury,Assault,Darwin,-,5
1028,2009,9,Acts intended to cause injury,Assault,Palmerston,-,3
1029,2009,9,Acts intended to cause injury,Assault,Darwin,-,14
1030,2009,9,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
1031,2009,9,Acts intended to cause injury,Assault,Palmerston,-,6
1032,2009,9,Commercial break-ins,Commercial break-ins actual,Darwin,-,51
1033,2009,9,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,1
1034,2009,9,Commercial break-ins,Commercial break-ins actual,Palmerston,-,10
1035,2009,9,Commercial break-ins,Commercial break-ins attempted,Darwin,-,12
1036,2009,9,Commercial break-ins,Commercial break-ins attempted,NT Balance,Humpty Doo,1
1037,2009,9,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,1
1038,2009,9,Homicide and related Offences,Attempted Murder,Darwin,-,2
1039,2009,9,House break-ins,House break-ins actual,Darwin,-,50
1040,2009,9,House break-ins,House break-ins actual,NT Balance,Howard Springs,1
1041,2009,9,House break-ins,House break-ins actual,NT Balance,Humpty Doo,1
1042,2009,9,House break-ins,House break-ins actual,Palmerston,-,16
1043,2009,9,House break-ins,House break-ins attempted,Darwin,-,7
1044,2009,9,House break-ins,House break-ins attempted,Palmerston,-,4
1045,2009,9,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,20
1046,2009,9,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,1
1047,2009,9,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,7
1048,2009,9,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,72
1049,2009,9,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,2
1050,2009,9,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,33
1051,2009,9,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,5
1052,2009,9,Property Damage Offences,Property damage offences,Darwin,-,226
1053,2009,9,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,2
1054,2009,9,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,11
1055,2009,9,Property Damage Offences,Property damage offences,Palmerston,-,107
1056,2009,9,Robbery - extortion and related offences,Robbery,Darwin,-,1
1057,2009,9,Sexual Assault and related offences,Sexual assault,Darwin,-,9
1058,2009,9,Sexual Assault and related offences,Sexual assault,NT Balance,Howard Springs,1
1059,2009,9,Sexual Assault and related offences,Sexual assault,Palmerston,-,3
1060,2009,9,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,324
1061,2009,9,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,3
1062,2009,9,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,9
1063,2009,9,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,94
1064,2009,10,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,-,1
1065,2009,10,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,4
1066,2009,10,Abduction - harassment and other offences against the person,Harassment and private nuisance,Palmerston,-,1
1067,2009,10,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,8
1068,2009,10,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,3
1069,2009,10,Acts intended to cause injury,Assault,Darwin,-,28
1070,2009,10,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,2
1071,2009,10,Acts intended to cause injury,Assault,Palmerston,-,9
1072,2009,10,Acts intended to cause injury,Assault,Darwin,-,50
1073,2009,10,Acts intended to cause injury,Assault,Palmerston,-,3
1074,2009,10,Acts intended to cause injury,Assault,Darwin,-,5
1075,2009,10,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
1076,2009,10,Acts intended to cause injury,Assault,Palmerston,-,4
1077,2009,10,Acts intended to cause injury,Assault,Darwin,-,35
1078,2009,10,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
1079,2009,10,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
1080,2009,10,Acts intended to cause injury,Assault,Palmerston,-,6
1081,2009,10,Acts intended to cause injury,Assault,Darwin,-,2
1082,2009,10,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
1083,2009,10,Acts intended to cause injury,Assault,Palmerston,-,3
1084,2009,10,Acts intended to cause injury,Assault,Darwin,-,19
1085,2009,10,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
1086,2009,10,Acts intended to cause injury,Assault,Palmerston,-,5
1087,2009,10,Commercial break-ins,Commercial break-ins actual,Darwin,-,45
1088,2009,10,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,2
1089,2009,10,Commercial break-ins,Commercial break-ins actual,Palmerston,-,11
1090,2009,10,Commercial break-ins,Commercial break-ins attempted,Darwin,-,6
1091,2009,10,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,4
1092,2009,10,Homicide and related Offences,Driving causing death,Darwin,-,1
1093,2009,10,House break-ins,House break-ins actual,Darwin,-,67
1094,2009,10,House break-ins,House break-ins actual,NT Balance,Humpty Doo,3
1095,2009,10,House break-ins,House break-ins actual,Palmerston,-,15
1096,2009,10,House break-ins,House break-ins attempted,Darwin,-,12
1097,2009,10,House break-ins,House break-ins attempted,Palmerston,-,3
1098,2009,10,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,30
1099,2009,10,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,1
1100,2009,10,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,14
1101,2009,10,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,93
1102,2009,10,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
1103,2009,10,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,3
1104,2009,10,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,32
1105,2009,10,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,2
1106,2009,10,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Palmerston,-,3
1107,2009,10,Property Damage Offences,Property damage offences,Darwin,-,347
1108,2009,10,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,5
1109,2009,10,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,7
1110,2009,10,Property Damage Offences,Property damage offences,Palmerston,-,111
1111,2009,10,Robbery - extortion and related offences,Robbery,Darwin,-,6
1112,2009,10,Robbery - extortion and related offences,Robbery,Palmerston,-,2
1113,2009,10,Sexual Assault and related offences,Non-assaultive sexual offences,Darwin,-,1
1114,2009,10,Sexual Assault and related offences,Sexual assault,Darwin,-,8
1115,2009,10,Sexual Assault and related offences,Sexual assault,NT Balance,Humpty Doo,2
1116,2009,10,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,305
1117,2009,10,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,7
1118,2009,10,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,11
1119,2009,10,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,93
1120,2009,11,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,-,1
1121,2009,11,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,1
1122,2009,11,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,8
1123,2009,11,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Howard Springs,1
1124,2009,11,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,3
1125,2009,11,Acts intended to cause injury,Assault,Darwin,-,24
1126,2009,11,Acts intended to cause injury,Assault,Palmerston,-,5
1127,2009,11,Acts intended to cause injury,Assault,Darwin,-,54
1128,2009,11,Acts intended to cause injury,Assault,Palmerston,-,3
1129,2009,11,Acts intended to cause injury,Assault,Darwin,-,4
1130,2009,11,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
